Deck level,Deck code,Room code,Room center longitude(X),Room center latitude(Y),Class,Amount_of_centroids,Centroid_no,Centroid_code,Centroid_square_half_length(X),Centroid_square_half_width(Y),Centroid_weigh_by_deck,Centroid_weigh_by_class
8,T,T,47,0,1,,,,,,,
7,A,A1,74,-2,1,,,,,,,
7,A,A2,74,2,1,,,,,,,
7,A,A3,75,-8,1,,,,,,,
7,A,A4,75,8,1,,,,,,,
7,A,A5,72,-7,1,,,,,,,
7,A,A6,72,7,1,,,,,,,
7,A,A7,72,-9,1,,,,,,,
7,A,A8,72,9,1,,,,,,,
7,A,A9,67,-7,1,,,,,,,
7,A,A10,67,7,1,,,,,,,
7,A,A11,67,-9,1,,,,,,,
7,A,A12,67,9,1,,,,,,,
7,A,A14,63.5,7,1,,,,,,,
7,A,A15,63.5,-7,1,,,,,,,
7,A,A16,63.5,9,1,,,,,,,
7,A,A17,63.5,-9,1,,,,,,,
7,A,A18,59,7,1,,,,,,,
7,A,A19,59,-7,1,,,,,,,
7,A,A20,59,9,1,,,,,,,
7,A,A21,59,-9,1,,,,,,,
7,A,A22,55.5,7,1,,,,,,,
7,A,A23,55.5,-7,1,,,,,,,
7,A,A24,55.5,9,1,,,,,,,
7,A,A25,55.5,-9,1,,,,,,,
7,A,A26,51,7,1,,,,,,,
7,A,A27,51,-7,1,,,,,,,
7,A,A28,51,9,1,,,,,,,
7,A,A29,51,-9,1,,,,,,,
7,A,A30,46,7,1,,,,,,,
7,A,A31,46,-7,1,,,,,,,
7,A,A32,46,9,1,,,,,,,
7,A,A33,46,-9,1,,,,,,,
7,A,A34,41,9,1,,,,,,,
7,A,A35,41,-9,1,,,,,,,
7,A,A36,-41.5,9,1,,,,,,,
7,A,A37,-41.5,-9,1,,,,,,,
6,B,B1,78,-2,1,,,,,,,
6,B,B2,78,2,1,,,,,,,
6,B,B3,78.5,-6.5,1,,,,,,,
6,B,B4,78.5,6.5,1,,,,,,,
6,B,B5,78,-9.5,1,,,,,,,
6,B,B6,78,9.5,1,,,,,,,
6,B,B7,74,-6.5,1,,,,,,,
6,B,B8,74,6.5,1,,,,,,,
6,B,B9,74,-9.5,1,,,,,,,
6,B,B10,74,9.5,1,,,,,,,
6,B,B11,69,-6.5,1,,,,,,,
6,B,B12,69,6.5,1,,,,,,,
6,B,B14,69,9.5,1,,,,,,,
6,B,B15,69,-9.5,1,,,,,,,
6,B,B16,70,13,1,,,,,,,
6,B,B17,70,-13,1,,,,,,,
6,B,B18,65,6.5,1,,,,,,,
6,B,B19,65,-6.5,1,,,,,,,
6,B,B20,65,9.5,1,,,,,,,
6,B,B21,65,-9.5,1,,,,,,,
6,B,B22,65,13,1,,,,,,,
6,B,B23,65,-13,1,,,,,,,
6,B,B24,60,6.5,1,,,,,,,
6,B,B25,60,-6.5,1,,,,,,,
6,B,B26,60,9.5,1,,,,,,,
6,B,B27,60,-9.5,1,,,,,,,
6,B,B28,61.5,13,1,,,,,,,
6,B,B29,61.5,-13,1,,,,,,,
6,B,B30,56,6.5,1,,,,,,,
6,B,B31,56,-6.5,1,,,,,,,
6,B,B32,56,9.5,1,,,,,,,
6,B,B33,56,-9.5,1,,,,,,,
6,B,B34,55.5,13,1,,,,,,,
6,B,B35,55.5,-13,1,,,,,,,
6,B,B36,51,6.5,1,,,,,,,
6,B,B37,51,-6.5,1,,,,,,,
6,B,B38,51,9.5,1,,,,,,,
6,B,B39,51,-9.5,1,,,,,,,
6,B,B40,51,13,1,,,,,,,
6,B,B41,51,-13,1,,,,,,,
6,B,B42,46,9,1,,,,,,,
6,B,B43,46,-9,1,,,,,,,
6,B,B44,45.5,13,1,,,,,,,
6,B,B45,45.5,-13,1,,,,,,,
6,B,B46,41.5,9,1,,,,,,,
6,B,B47,41.5,-9,1,,,,,,,
6,B,B48,41.5,13,1,,,,,,,
6,B,B49,41.5,-13,1,,,,,,,
6,B,B50,51,2,1,,,,,,,
6,B,B51,26.5,-8,1,,,,,,,
6,B,B52,26.5,-8,1,,,,,,,
6,B,B53,22,-8,1,,,,,,,
6,B,B54,22,8,1,,,,,,,
6,B,B55,15,-8,1,,,,,,,
6,B,B56,15,8,1,,,,,,,
6,B,B57,11,-13,1,,,,,,,
6,B,B58,11,13,1,,,,,,,
6,B,B59,7,-13,1,,,,,,,
6,B,B60,7,13,1,,,,,,,
6,B,B61,6,-6.5,1,,,,,,,
6,B,B62,6,6.5,1,,,,,,,
6,B,B63,1.5,-13,1,,,,,,,
6,B,B64,1.5,13,1,,,,,,,
6,B,B65,-2,-13,1,,,,,,,
6,B,B66,-2,13,1,,,,,,,
6,B,B67,-2.5,-6.5,1,,,,,,,
6,B,B68,-2.5,6.5,1,,,,,,,
6,B,B69,-6,-13,1,,,,,,,
6,B,B70,-6,13,1,,,,,,,
6,B,B71,-10,-13,1,,,,,,,
6,B,B72,-10,13,1,,,,,,,
6,B,B73,-10.5,-6.5,1,,,,,,,
6,B,B74,-10.5,6.5,1,,,,,,,
6,B,B75,-14,-13,1,,,,,,,
6,B,B76,-14,13,1,,,,,,,
6,B,B77,-18,-13,1,,,,,,,
6,B,B78,-18.5,13,1,,,,,,,
6,B,B79,-18.5,-6.5,1,,,,,,,
6,B,B80,-18,6.5,1,,,,,,,
6,B,B81,-22,-13,1,,,,,,,
6,B,B82,-22,13,1,,,,,,,
6,B,B83,-26,-13,1,,,,,,,
6,B,B84,-26,13,1,,,,,,,
6,B,B85,-26.5,-13,1,,,,,,,
6,B,B86,-26.5,13,1,,,,,,,
6,B,B87,-31,-13,1,,,,,,,
6,B,B88,-31,13,1,,,,,,,
6,B,B89,-35,-13,1,,,,,,,
6,B,B90,-35,13,1,,,,,,,
6,B,B91,-35.5,-13,1,,,,,,,
6,B,B92,-35.5,13,1,,,,,,,
6,B,B93,-38,-12,1,,,,,,,
6,B,B94,-38,12,1,,,,,,,
6,B,B95,-41.5,-12,1,,,,,,,
6,B,B96,-41.5,12,1,,,,,,,
6,B,B97,-44.5,-13,1,,,,,,,
6,B,B98,-44.5,13,1,,,,,,,
6,B,B99,-1,-3,1,,,,,,,
6,B,B100,-1,3,1,,,,,,,
